business_name,Address,Founded / Registration Date,Erloschen / Took possesion,Expiration Date
Atlas-Verlag Dr. Alterthum & Co,"Albrecht-Archilles-Str. 58,  Berlin",1926,1937,
Isaak Klibanow,"Albrechtstr.  38,  Berlin",,,
Klibanow,"Albrechtstr.  38,  Berlin",,,
Kunze & Fröhlich GmbH,"Albrechtstr. 10,  Berlin",1921,1933,1937
Edmund Reich,"Albrechtstr. 107,  Berlin",1925,1938,
Joseph Chaim & Olitzki Filiale Steglitz Inh. Isidor Kober,"Albrechtstr. 125,  Berlin",1900,1937,
Georg Wangenheim,"Albrechtstr. 130,  Berlin",1919,1936,
Friedländer & Blumenreich,"Albrechtstr. 14,  Berlin",1911,1939,
Albrechtshof Lichtspiele GmbH,"Albrechtstr. 1a,  Berlin",1932,1937,
E. Bieber,"Albrechtstr. 2,  Berlin",1902,1933,
"Albert Heimann, Bureau für Hypotheken- und Immobilienverkehr","Albrechtstr. 25,  Berlin",1914,1937,
Park-Lichtspiele-GmbH,"Albrechtstr. 49,  Berlin",1929,1932,
Adolf Schrubski,"Albrechtstr. 53b,  Berlin",1926,1936,
Carl Wittenberg Herren-Ausstattungs-Geschäft,"Albrechtstr. 6,  Berlin",1904,1937,
Café Braun GmbH,"Alexanderplatz 1,  Berlin",1931,1936,
"Baerwald, Vertreter d. Firma Singer","Alexanderstr.  26,  Berlin",,,
Kurt Dreeßen,"Alexanderstr.  43,  Berlin",,,
Möbelhaus 'Alexander-Eck',"Alexanderstr.  52,  Berlin",,,
W. Spieldoch,"Alexanderstr. 1,  Berlin",1904,1938,
Automaten-Restaurant Alexanderplatz Benno Einfeld,"Alexanderstr. 1,  Berlin",1935,1940,
"Schilderfabrik Segal, Inh. Willy & Paul Segal","Alexanderstr. 10,  Berlin",1903,1939,
S. Gottlob,"Alexanderstr. 12,  Berlin",1901,1931,
Ludwig Heilborn,"Alexanderstr. 12,  Berlin",1900,1936,
Sigismund Raphael,"Alexanderstr. 12,  Berlin",1903,1936,
Carlsbader Fein Bäckerei Moritz Dobrin,"Alexanderstr. 14c,  Berlin",1902,1939,
Gebrüder Raphael,"Alexanderstr. 2,  Berlin",1907,1940,
Paul Wienskowitz,"Alexanderstr. 27,  Berlin",1922,1931,1939
Cigarettenpapier-Manufaktur Max Mayer,"Alexanderstr. 27,  Berlin",1913,1938,
A. Hoffmann & Co,"Alexanderstr. 27,  Berlin",1924,1940,
Landshut & Co Buchdruckerei & Formularverlag,"Alexanderstr. 27a,  Berlin",1922,1938,1939
"Edel & Dobrin, Spirituosen und Weinhandlung GmbH","Alexanderstr. 27a,  Berlin",1921,1939,
Gebr. Riebenfeld,"Alexanderstr. 30,  Berlin",1910,1938,
Franz Rosenthal,"Alexanderstr. 33,  Berlin",1901,,
Siegmund Kraut,"Alexanderstr. 34,  Berlin",1902,1938,1939
Max Hirschberg,"Alexanderstr. 35,  Berlin",1930,1938,1939
Eisen & Co,"Alexanderstr. 35,  Berlin",1922,1936,
Stein Söhne,"Alexanderstr. 35,  Berlin",1900,1938,
W. & L. Engelberg,"Alexanderstr. 35,  Berlin",1927,1939,1939
Sanosa GmbH,"Alexanderstr. 36a,  Berlin",1924,1938,
Hirsch Leimann,"Alexanderstr. 37a,  Berlin",1929,1939,
Willy Wolffheim,"Alexanderstr. 38a,  Berlin",1919,1942,
Max Glaser Papiergroßhandlung,"Alexanderstr. 39/40 (Passage),  Berlin",1922,1940,
Müller & Leopold,"Alexanderstr. 39/40,  Berlin",1904,1939,
Schokoladengroßhandlung Eisen & Co,"Alexanderstr. 39/40,  Berlin",1930,1939,
William Loewenstein,"Alexanderstr. 39/40,  Berlin",1903,1940,
Albert Gleiser Möbelfabrik-AG,"Alexanderstr. 42,  Berlin",1923,1935,1936
Albert Gleiser Möbelhaus GmbH,"Alexanderstr. 42,  Berlin",1924,1935,1936
Adolf Kempler,"Alexanderstr. 44,  Berlin",1921,1939,
P. Hahn & Co,"Alexanderstr. 45,  Berlin",1908,1940,
Sally Klein,"Alexanderstr. 46 II,  Berlin",1921,1939,
Engelhardt-Brauerei AG,"Alexanderstr. 46/48,  Berlin",1907,1933,
Seifenkoenig Willy Naschelski,"Alexanderstr. 47,  Berlin",1926,1937,
Alexander-Drogerie Apotheker Israel Abraham,"Alexanderstr. 48,  Berlin",1912,1938,
Optiker Alexander Fromm & Co GmbH,"Alexanderstr. 50,  Berlin",1921,,
Max Dürfeldt & Co,"Alexanderstr. 51,  Berlin",1932,1939,
Sally Scheidemann Schürzenfabrikation und Textilwaren-Großhandlung,"Alexanderstr. 51/52,  Berlin",1919,1933,
Sherlock GmbH,"Alexanderstr. 51/52,  Berlin",1913,,
Georg Levy & Sohn,"Alexanderstr. 52,  Berlin",1930,1938,
Philipp Jacobius,"Alexanderstr. 53,  Berlin",1915,1938,1939
Julius Kollenscher,"Alexanderstr. 53,  Berlin",1920,1936,
William Leiser,"Alexanderstr. 53,  Berlin",1920,1937,
"Herrmann, van der Linden & Co","Alexanderstr. 53,  Berlin",1920,1939,
Siegfried Koh & Cie,"Alexanderstr. 55,  Berlin",1932,1939,1940
"Schneider & Co, Herren- und Knabenkleiderfabrik, GmbH","Alexanderstr. 55,  Berlin",1922,1939,
Emil Schönmann,"Alexanderstr. 55,  Berlin",1919,1941,
G. E. Handmann Nachflg. Hugo Hopp,"Alexanderstr. 71,  Berlin",1900,1939,1940
Sprechmaschinen Centrale J. Katz & Sohn,"Alexanderstr. 71,  Berlin",1907,1939,
Alexander-Apotheke Leopold Scheyer,"Alexanderstr. 8,  Berlin",1902,1937,
Hermann Frank,"Alexanderstr. 8,  Berlin",1905,1938,
Faust & Co,"Alexanderstr. 8a,  Berlin",1907,1938,1938
Hirschberg Häutehandels-GmbH,"Alexanderstr. 8a,  Berlin",1930,1934,1936
Julius Hirschberg,"Alexanderstr. 8a,  Berlin",1927,1932,
Max Hirschberg Häute und Felle,"Alexanderstr. 8a,  Berlin",1934,1939,
Handels- und Verwaltungs-GmbH,"Alexandrinenstr. ,  Berlin",1933,,
"Paul Klein, Schirmfabrik","Alexandrinenstr. 1,  Berlin",1910,,1941
Georg Simon,"Alexandrinenstr. 100,  Berlin",1935,1938,1940
Walter Baum,"Alexandrinenstr. 101,  Berlin",1928,1939,
George Gottschalkson GmbH,"Alexandrinenstr. 104,  Berlin",1923,1939,
Speer & Schmidt Buchdruckerei,"Alexandrinenstr. 105/106,  Berlin",1921,1938,1938
Georg Jacobsohn & Co,"Alexandrinenstr. 105/106,  Berlin",1925,1938,
Georg Loewenstein,"Alexandrinenstr. 105/106,  Berlin",1918,1938,
Hans Gost & Co,"Alexandrinenstr. 105/106,  Berlin",1900,1938,
Hans Gost & Co GmbH,"Alexandrinenstr. 105/106,  Berlin",1923,1938,
Alfred Brandt & Co,"Alexandrinenstr. 105/106,  Berlin",1902,1939,
Gretzschel & Co,"Alexandrinenstr. 105/106,  Berlin",1931,1939,
Guttstadt & Simon,"Alexandrinenstr. 105/106,  Berlin",1931,1939,
Imperator-Metallwaren-Fabrik AG,"Alexandrinenstr. 105/106,  Berlin",1924,1939,
Heinrich Hoffmann jr.,"Alexandrinenstr. 108,  Berlin",1907,1939,
M. Liemann & Co,"Alexandrinenstr. 11,  Berlin",1933,1938,1940
Deutsche Cassenrollen-Fabrik mbH,"Alexandrinenstr. 11,  Berlin",1906,1938,1940
Brann & Wolff Metallwaarenfabrik,"Alexandrinenstr. 11,  Berlin",1900,1937,
"Scheuertuchvertrieb ""Ritter"" Simonson & Hirschel","Alexandrinenstr. 11,  Berlin",1923,1939,
Louis Marx & Co,"Alexandrinenstr. 11,  Berlin",1919,1940,
Roß Bromsilber-Vertriebs-GmbH,"Alexandrinenstr. 110,  Berlin",1907,1938,
Rotophot AG für graphische Industrie,"Alexandrinenstr. 110,  Berlin",1912,,
Alfred Keßler & Max Silbermann,"Alexandrinenstr. 111,  Berlin",1914,1939,
Alfons Jacobsohn,"Alexandrinenstr. 112,  Berlin",1906,1940,
Arthur Scholem,"Alexandrinenstr. 134,  Berlin",1900,1936,
Julius Dresdner,"Alexandrinenstr. 134,  Berlin",1906,1938,
Bandvertrieb GmbH,"Alexandrinenstr. 135/136,  Berlin",1936,1936,
Felix Salomonis,"Alexandrinenstr. 135/136,  Berlin",1935,1936,
Blumenfeld & Feilchenfeld,"Alexandrinenstr. 135/136,  Berlin",1908,1937,
J. Salomonis GmbH,"Alexandrinenstr. 135/136,  Berlin",1921,1939,
Glas und Spiegel GmbH,"Alexandrinenstr. 135/136,  Berlin",1933,,
Müller & Pollak,"Alexandrinenstr. 137,  Berlin",1920,1930,1938
Rapid Kopier-GmbH,"Alexandrinenstr. 137,  Berlin",1925,1937,
Albert Labus AG,"Alexandrinenstr. 22,  Berlin",1922,1936,
Baer & Stein Metallwaren-Fabrik AG,"Alexandrinenstr. 24,  Berlin",1900,1934,
Max Schachnow & Co AG für Toilette-Artikel,"Alexandrinenstr. 27,  Berlin",1923,1934,1939
Hermann Posner,"Alexandrinenstr. 36,  Berlin",1902,1941,
David Owitz,"Alexandrinenstr. 37,  Berlin",1919,1939,
Julius Cohn,"Alexandrinenstr. 37a,  Berlin",1903,1933,
Hartmann & Co,"Alexandrinenstr. 37a,  Berlin",1910,1940,
Benno Forchheimer,"Alexandrinenstr. 43,  Berlin",1930,1939,
Anton Nathan,"Alexandrinenstr. 45,  Berlin",1904,,
Julius Margoninsky,"Alexandrinenstr. 46 und 50,  Berlin",1913,1938,1939
Chlorator-GmbH,"Alexandrinenstr. 48,  Berlin",1923,1938,1938
Chlorator,"Alexandrinenstr. 48,  Berlin",1938,1939,
Carl Jander,"Alexandrinenstr. 48,  Berlin",1900,1940,
Alfred Flatow,"Alexandrinenstr. 49,  Berlin",1914,1939,
Fritz Böhm,"Alexandrinenstr. 49,  Berlin",1938,1941,
Fraenkl & Co,"Alexandrinenstr. 50,  Berlin",1908,1939,1939
J. Pincus Söhne GmbH,"Alexandrinenstr. 63/64,  Berlin",1922,1936,
Siegfried Czapski,"Alexandrinenstr. 68/69,  Berlin",1908,1939,
Hermann Rosenzweig,"Alexandrinenstr. 76,  Berlin",1911,1938,
XXX Adolf Goldmann,"Alexandrinenstr. 84,  Berlin",1920,1940,
Anna Planitz,"Alexandrinenstr. 87,  Berlin",1915,1940,
J. Jacobinski,"Alexandrinenstr. 89,  Berlin",1901,1941,
S. Michaelis Import-Geschäft,"Alexandrinenstr. 92,  Berlin",1904,1938,
Richard I. David,"Alexandrinenstr. 93/94,  Berlin",1915,1937,
Kiefe & Huller,"Alexandrinenstr. 93/94,  Berlin",1911,1938,
Julius Fabisch,"Alexandrinenstr. 93/94,  Berlin",1921,1939,
Wichert-Jakoby-Weißmann-Schuhfabrik AG (Wiwag),"Alexandrinenstr. 95/6,  Berlin",1922,1938,
Hesse & Kramer,"Alexandrinenstr. 95/96,  Berlin",1907,1935,
S. Foerstner,"Alexandrinenstr. 95/96,  Berlin",1900,1936,
Gebr. Rozenbaum Lederwarenfabrikation,"Alexandrinenstr. 95/96,  Berlin",1927,1938,
M. Silberblatt,"Alexandrinenstr. 95/96,  Berlin",1904,1940,
Trias & Verschleißer,"Alexandrinenstr. 95/96,  Berlin",1931,1941,
Farmey GmbH Großhandelshaus pharmazeutischer und kosmetischer Spezialitäten und Parfümerie,"Alexandrinenstr. 97,  Berlin",1920,1938,1938
Hans Wendriner Export,"Alexandrinenstr. 99,  Berlin",1937,1941,
Paul Immerglück,"Allensteiner Str.  38,  Berlin",,,
Max Seligmann,"Allensteinerstr. 36,  Berlin",1917,1939,
Adam & Philipsohn,"Allensteinerstr. 39,  Berlin",1923,1936,
"Gellert, Oskar","Alsenstr. 6,  Berlin",,,
Gustav Löwenberg,"Alt Moabit  114,  Berlin",,,
Autoreifen Magazin,"Alt Moabit  130,  Berlin",,,
Schuhbesohlung Herkules,"Alt Moabit  15,  Berlin",,,
Manfred Leopold,"Alt Moabit  51,  Berlin",,,
Rosenthal & Co,"Alt Moabit 105,  Berlin",1900,1935,
Emanuel Zeller,"Alt Moabit 106,  Berlin",1924,1941,
Heinrich Perl,"Alt Moabit 109,  Berlin",1924,1939,
Adolf Boese,"Alt Moabit 111,  Berlin",1937,,
Güter-Sammelverkehr-GmbH,"Alt Moabit 139,  Berlin",1932,1936,
J. Schneider & Co GmbH,"Alt Moabit 139b,  Berlin",1930,1939,1938
Max Sittner Gotzkowsky-Apotheke Allopathie u. Homöopathie engros u. Export,"Alt Moabit 52,  Berlin",1923,1936,
Adrema-Verwaltungsgesellschaft mbH,"Alt Moabit 62/63,  Berlin",1919,1934,
Adrema Export GmbH,"Alt Moabit 62/63,  Berlin",1934,1937,
Adrema Maschinenbau-GmbH,"Alt Moabit 63/63,  Berlin",1913,1934,
Dachpix Gesellschaft Klemann & Co GmbH,"Alt Moabit 75,  Berlin",1905,1937,
Julius Rothmann,"Alt Moabit 80,  Berlin",1913,1939,
Gummi Confection Alexis Sachs,"Alt Moabit 83b,  Berlin",1912,1937,
Paula Buschke,"Alt Moabit 85a,  Berlin",1936,1939,
Isac Grünfeld,"Alt Moabit 86,  Berlin",1910,1932,
F. Klag & Co,"Alt Moabit 86,  Berlin",1923,1939,
Willi Goldschmidt Metalle,"Alt Moabit 95,  Berlin",1924,1938,1939
Martin Jacobson,"Alt Moabit 95/96,  Berlin",1904,1937,1938
Limba GmbH zur Herstellung alkoholfreier Getränke,"Alt Moabit 95/96,  Berlin",1934,1937,
L. Schlochauer & Co,"Alt Moabit 95/96,  Berlin",1918,1940,
Tonophon GmbH,"Alt Stralau 36,  Berlin",1929,1938,1939
Monette Asbestdraht GmbH,"Alt Stralau 4,  Berlin",1930,,
"Transvaalstr. 17 Grunstücksgesellschaft mbH in Liqu., z.Hd. d. Herrn Ferd. Naggatz","Alt-Moabit 135,  Berlin",,,
Julius Nawratzki,"Alt-Moabit 82d,  Berlin",1933,,
"Merten, Leo","Alt-Moabit 84,  Berlin",,,
"Philipsborn, Victor","Alt-Moabit 86,  Berlin",,,
Berthold Wreschner,"Alte Jacobstr. 11/12,  Berlin",1901,1937,
Deutsche Buch-Gemeinschaft GmbH,"Alte Jacobstr. 156/157,  Berlin",1924,1939,
Hans Loepert,"Alte Jacobstr. 40/41,  Berlin",1934,1939,1940
Max Kulies,"Alte Jacobstr. 78,  Berlin",1911,1941,
F. Salomon,"Alte Jakobstr.  101,  Berlin",,,
Meyer,"Alte Jakobstr.  134,  Berlin",,,
Apotheker Rosenberg,"Alte Jakobstr.  5,  Berlin",,,
Nachf. Carl Seeger,"Alte Jakobstr.  5,  Berlin",,,
Plissee-Maschke,"Alte Jakobstr.  51,  Berlin",,,
Salon Gransee,"Alte Jakobstr.  74,  Berlin",,,
Leo Krus,"Alte Jakobstr.  96,  Berlin",,,
Julius Strauß Knopfmanufaktur,"Alte Jakobstr. 106,  Berlin",1907,1937,
W. Siebe Nachf.,"Alte Jakobstr. 106,  Berlin",1900,1940,
Adolf Maaß Fabrik antiseptischer Artikel,"Alte Jakobstr. 129,  Berlin",1905,1939,
Löwenstein & Koppel,"Alte Jakobstr. 133,  Berlin",1920,1938,1939
Hugo Baruch & Cie,"Alte Jakobstr. 133,  Berlin",1901,1937,
Wäsche-Industrie Berlin vorm. Schloßmann GmbH,"Alte Jakobstr. 133,  Berlin",1926,1939,
Fritz Lindenbaum,"Alte Jakobstr. 156/157,  Berlin",1919,1938,
Max Dresel,"Alte Jakobstr. 173,  Berlin",1907,1930,1932
Bergas & Held,"Alte Jakobstr. 18,  Berlin",1901,1938,
Jacob A. Seligmann & Co AG,"Alte Jakobstr. 20/22,  Berlin",1923,1933,1934
Casparius & Silberstein,"Alte Jakobstr. 20/22,  Berlin",1909,1935,
Phantasie-Stoff-Wirkerei GmbH,"Alte Jakobstr. 20/22,  Berlin",1927,1935,
Bruno Georgi,"Alte Jakobstr. 20/22,  Berlin",1911,1938,
Gebr. Ring,"Alte Jakobstr. 20/22,  Berlin",1920,1939,
Leopold Laserson,"Alte Jakobstr. 20/22,  Berlin",1922,1939,
Wilhelm Landauer,"Alte Jakobstr. 20/22,  Berlin",1934,1939,
Hugo Hirschfeld,"Alte Jakobstr. 23/24,  Berlin",1920,1937,1938
Gottschalk & Laske,"Alte Jakobstr. 23/24,  Berlin",1902,1939,
Max Freidberg,"Alte Jakobstr. 23/24,  Berlin",1919,1939,
S. Katz,"Alte Jakobstr. 24,  Berlin",1900,1933,
Julius Rausch,"Alte Jakobstr. 24,  Berlin",1904,,
Edmund Kahn,"Alte Jakobstr. 46,  Berlin",1900,1938,
Norbert Faklier,"Alte Jakobstr. 48,  Berlin",1921,,1941
Burchardy & Ziegler,"Alte Jakobstr. 54/55,  Berlin",1935,1939,
Max Jonas Textil,"Alte Jakobstr. 64a,  Berlin",1922,1938,
Felix Fleischer,"Alte Jakobstr. 75,  Berlin",1906,1938,1938
Simon Neumark,"Alte Jakobstr. 75,  Berlin",1928,1941,
Arnold Obersky GmbH Mieder- und Wäschefabrik,"Alte Jakobstr. 77,  Berlin",1938,1938,
Gebrüder Lewandowski GmbH,"Alte Jakobstr. 77,  Berlin",1920,1938,
Arnold Obersky AG,"Alte Jakobstr. 77c,  Berlin",1924,1932,
Hahn & Langer,"Alte Jakobstr. 78,  Berlin",1919,1939,
Drewes & Leyser,"Alte Jakobstr. 78,  Berlin",1902,1940,
Adolf Cohn Agentur und Commission,"Alte Jakobstr. 81/82,  Berlin",1911,1941,
Gorselanczyk & Co GmbH,"Alte Jakobstr. 83,  Berlin",1908,1936,1937
Nirgends besser als bei Schneidermeister Lesser Nathan Lesser,"Alte Jakobstr. 88,  Berlin",1920,1938,
Adolf Zumpe senior GmbH,"Alte Jakobstr. 9,  Berlin",1924,,1938
R. Cohn junior,"Alte Jakobstr. 93,  Berlin",1901,1938,
S. Mugdan,"Alte Jakobstr. 93,  Berlin",1902,1940,
Willy Fischer Knöpfe-Schnallen-Engros-Export,"Alte Leipziger Str. 12,  Berlin",1933,1940,
Adalbert Friedland,"Alte Leipziger Str. 13,  Berlin",1917,1937,
J. Halberstadt,"Alte Leipziger Str. 16,  Berlin",1901,1937,
Adolf Biberfeld,"Alte Leipziger Str. 17,  Berlin",1921,1940,
Emil Kochmann,"Alte Leipziger Str. 6,  Berlin",1915,1939,
Klapper & Co GmbH,"Alte Leipziger Str. 6,  Berlin",1939,,
Georg Pintus,"Alte Leipziger Str. 7/9,  Berlin",1900,1939,
Hopp & Peiser,"Alte Leipziger Str. 7/9,  Berlin",1920,1939,
Hermann Cohn sr.,"Alte Leipziger Str. 7/9,  Berlin",1903,1941,
Arthur Leidert,"Alte Leipziger Str. 71,  Berlin",1926,1938,
Heinrich Spritzer,"Alte Schönhauser 3,  Berlin",1924,1936,
Adolf Feinberg,"Alte Schönhauser 46,  Berlin",1902,1938,
Heinrich Knoller,"Alte Schönhauser Str.  18,  Berlin",,,
S. Isralit,"Alte Schönhauser Str.  25,  Berlin",,,
Heinz Gayer,"Alte Schönhauser Str.  35,  Berlin",,,
Arthur Rotholz,"Alte Schönhauser Str.  57,  Berlin",,,
Ignatz Guttmann,"Alte Schönhauser Str.  59,  Berlin",,,
Arnold Naftaniel,"Alte Schönhauser Str.  60,  Berlin",,,
J. Cyfer,"Alte Schönhauser Str.  60,  Berlin",,,
B. Szycmann,"Alte Schönhauser Str.  9,  Berlin",,,
Moses Lautmann,"Alte Schönhauser Str. 10,  Berlin",1926,1933,
L. Nagoschiner,"Alte Schönhauser Str. 14/15,  Berlin",1902,1938,
Cäcilie Brenner,"Alte Schönhauser Str. 19,  Berlin",1926,1939,
Wolff Guttmann,"Alte Schönhauser Str. 20,  Berlin",1920,1935,
Martin Glücksmann,"Alte Schönhauser Str. 20,  Berlin",1919,1937,
B. Wolff,"Alte Schönhauser Str. 23/24,  Berlin",1904,1940,
"Norddeutsche Herrenkleider Fabrik Drucker, Wachtel & Co","Alte Schönhauser Str. 3,  Berlin",1922,1940,
Brandenburgische Treuhand AG,"Alte Schönhauser Str. 41,  Berlin",1935,1924,
Isidor Tikotzky,"Alte Schönhauser Str. 42,  Berlin",1936,1940,
Saul Bronn,"Alte Schönhauser Str. 48/49,  Berlin",1916,1940,
Gustav Rosenthal Inh. Henriette Rosenthal,"Alte Schönhauser Str. 55,  Berlin",1913,1939,
Louis Rosenthal jr.,"Alte Schützenstr. 2,  Berlin",1900,1938,
Alfred Weiß,"Altenburger Allee 19,  Berlin",1932,1938,1940
Fürstenbrunn GmbH,"Alter Fürstenbrunner Weg 25/32,  Berlin",1937,1938,
Karl Abrahamowsky,"Altonaer Str.  3,  Berlin",,,
Hanna Feiertag,"Altonaer Str.  32,  Berlin",,,
"Otto Menzel, Antiquariat Hansa","Altonaer Str.  7,  Berlin",,,
Oppenheimer & Rosenbaum,"Altonaer Str. 1,  Berlin",1901,1936,
H. Offenberg & Co,"Altonaer Str. 11,  Berlin",1925,1938,
"Jacob, Mathilde","Altonaer Str. 11,  Berlin",,,
"Jastrow, Klara","Altonaer Str. 11,  Berlin",,,
Emil Kirstein,"Altonaer Str. 12,  Berlin",1913,1935,
Wilh. Feilchenfeld,"Altonaer Str. 12,  Berlin",1900,1936,
Georg Loewenheim,"Altonaer Str. 13,  Berlin",1921,1936,
Gersten & Neumann,"Altonaer Str. 13,  Berlin",1937,1939,
"Magnus, Benjamin David","Altonaer Str. 16,  Berlin",,,
S. Hoffnung,"Altonaer Str. 17,  Berlin",1901,1937,
"Mohr, Adolf","Altonaer Str. 17,  Berlin",,,
Moritz Heymann,"Altonaer Str. 22,  Berlin",1936,1939,
Fabrik chemisch-pharmazeutischer und cosmetischer Präparate Walter Weiß Apotheker,"Altonaer Str. 29,  Berlin",1914,1938,
Siegfried Loeser,"Altonaer Str. 32,  Berlin",1914,1937,
Sigmund Weltlinger,"Altonaer Str. 33,  Berlin",1925,1938,
Paul Loeb,"Altonaer Str. 35,  Berlin",1928,1937,
"Kraft, Leo","Altonaer Str. 35,  Berlin",,,
"Carsch, Catharina Babette","Altonaer Str. 5,  Berlin",,,
"Stern, Otto","Altonaer Str. 6,  Berlin",,,
Hugo Bornstein,"Altonaerstr. 12,  Berlin",1901,1934,1936
Fa. Hausverwaltungen und Hypotheken GmbH,"Alvenslebenstr. 7,  Berlin",,,
Feinkost Pförtner,"Am Bayerischen Platz ,  Berlin",,,
Charlottenburger Wasser- und Industriewerke AG,"Am Bayerischen Platz 9,  Berlin",1900,1933,
Doppellandhaus Dahlem GmbH,"Am Erlenbusch 4,  Berlin",1912,1936,1936
"Wilhelm Graetz, Bankgeschäft","Am Erlenbusch 4,  Berlin",1925,1933,
Formstecher & Co,"Am Fehrbelliner Platz ,  Berlin",1927,,
Gebrüder Wolfermann,"Am Friedrichshain 16/23,  Berlin",1912,1938,1938
Paul Merel Pappen-Großhandlung,"Am Friedrichshain 16/23,  Berlin",1931,1934,
Salo Brück,"Am Friedrichshain 8,  Berlin",1916,1939,
"Ahrends, Edmund","Am Gr. Wannsee 5,  Berlin",,,
Graphische Kunstanstalt Ernst Zieger,"Am Johannistisch  9,  Berlin",,,
Kammerich-Werke AG,"Am Karlsbad 16,  Berlin",1896,1938,
Willi Beissinger,"Am Karlsbad 21,  Berlin",1927,1935,
Schindler & Presch,"Am Köllnischen Park 1,  Berlin",1921,1939,1940
Marcus & Rosenberg,"Am Köllnischen Park 6,  Berlin",1929,1937,
Richard Weinberg,"Am Köllnischen Park 7,  Berlin",1920,1936,
Erich Loewenstein,"Am Köllnischen Park 7,  Berlin",1923,1938,
W. Bandmann,"Am Köllnischen Park 7,  Berlin",1899,1940,
Julius Schimmel & Co,"Am Königsgraben 4,  Berlin",1935,1941,
Dr. Philipp Lederer,"Am Kupfergraben 4,  Berlin",1910,1937,
Strasser & Co Bankgeschäft,"Am Kupfergraben 4,  Berlin",1908,1937,
S. Rand GmbH,"Am Kupfergraben 4,  Berlin",1924,1940,
Victor S. Wittenberg,"Am Kupfergraben 4a,  Berlin",1910,1938,
Krakau & Hesse,"Am Kupfergraben 4a,  Berlin",1869,1939,
Gust. Salinger,"Am Kupfergraben 5,  Berlin",1900,1932,
Max Simon,"Am Kupfergraben 5,  Berlin",1908,1940,
Mendel Safir,"Am Markt 1,  Berlin",1936,1940,
Strickwaren- Wäsche- u. Trikotagen Markt Feiwel Troper,"Am Markt 3,  Berlin",1929,1939,
Wohag Wohlfeil Handelsgesellschaft mbH,"Am Markt 4/5,  Berlin",1932,1935,
