"business_name","Address","Founded / Registration Date","Erloschen / Took possesion","Expiration Date","category"
"Hirschberg Häutehandels-GmbH","Alexanderstr. 8a,  Berlin","1930","1934.0","1936.0","textiles and clothing"
"Julius Hirschberg","Alexanderstr. 8a,  Berlin","1927","1932.0","","leather and shoes"
"Max Hirschberg Häute und Felle","Alexanderstr. 8a,  Berlin","1934","1939.0","","leather and shoes"
"Handels- und Verwaltungs-GmbH","Alexandrinenstr. ,  Berlin","1933","","","other"
"Paul Klein, Schirmfabrik","Alexandrinenstr. 1,  Berlin","1910","","1941.0","textiles and clothing"
"Georg Simon","Alexandrinenstr. 100,  Berlin","1935","1938.0","1940.0","jewelry and precious metals"
"Walter Baum","Alexandrinenstr. 101,  Berlin","1928","1939.0","","textiles and clothing"
"George Gottschalkson GmbH","Alexandrinenstr. 104,  Berlin","1923","1939.0","","leather and shoes"
"Speer & Schmidt Buchdruckerei","Alexandrinenstr. 105/106,  Berlin","1921","1938.0","1938.0","publishing and printing"
"Georg Jacobsohn & Co","Alexandrinenstr. 105/106,  Berlin","1925","1938.0","","construction"
"Georg Loewenstein","Alexandrinenstr. 105/106,  Berlin","1918","1938.0","","textiles and clothing"
"Hans Gost & Co","Alexandrinenstr. 105/106,  Berlin","1900","1938.0","","books and art"
"Hans Gost & Co GmbH","Alexandrinenstr. 105/106,  Berlin","1923","1938.0","","Möbel"
"Alfred Brandt & Co","Alexandrinenstr. 105/106,  Berlin","1902","1939.0","","household goods"
"Gretzschel & Co","Alexandrinenstr. 105/106,  Berlin","1931","1939.0","","machines, motor vehicles & technical articles"
"Guttstadt & Simon","Alexandrinenstr. 105/106,  Berlin","1931","1939.0","","chemicals and pharmaceuticals"
"Imperator-Metallwaren-Fabrik AG","Alexandrinenstr. 105/106,  Berlin","1924","1939.0","","metals and metal goods"
"Heinrich Hoffmann jr.","Alexandrinenstr. 108,  Berlin","1907","1939.0","","leather and shoes"
"M. Liemann & Co","Alexandrinenstr. 11,  Berlin","1933","1938.0","1940.0","other"
"Deutsche Cassenrollen-Fabrik mbH","Alexandrinenstr. 11,  Berlin","1906","1938.0","1940.0","paper and paper goods"
"Brann & Wolff Metallwaarenfabrik","Alexandrinenstr. 11,  Berlin","1900","1937.0","","metals and metal goods"
"Scheuertuchvertrieb ""Ritter"" Simonson & Hirschel","Alexandrinenstr. 11,  Berlin","1923","1939.0","","household goods"
"Louis Marx & Co","Alexandrinenstr. 11,  Berlin","1919","1940.0","","metals and metal goods"
"Roß Bromsilber-Vertriebs-GmbH","Alexandrinenstr. 110,  Berlin","1907","1938.0","","chemicals and pharmaceuticals"
"Rotophot AG für graphische Industrie","Alexandrinenstr. 110,  Berlin","1912","","","publishing and printing"
"Alfred Keßler & Max Silbermann","Alexandrinenstr. 111,  Berlin","1914","1939.0","","publishing and printing"
"Alfons Jacobsohn","Alexandrinenstr. 112,  Berlin","1906","1940.0","","other"
"Arthur Scholem","Alexandrinenstr. 134,  Berlin","1900","1936.0","","publishing and printing"
"Julius Dresdner","Alexandrinenstr. 134,  Berlin","1906","1938.0","","chemicals and pharmaceuticals"
"Bandvertrieb GmbH","Alexandrinenstr. 135/136,  Berlin","1936","1936.0","","textiles and clothing"
"Felix Salomonis","Alexandrinenstr. 135/136,  Berlin","1935","1936.0","","Möbel"
"Blumenfeld & Feilchenfeld","Alexandrinenstr. 135/136,  Berlin","1908","1937.0","","textiles and clothing"
"J. Salomonis GmbH","Alexandrinenstr. 135/136,  Berlin","1921","1939.0","","construction"
"Glas und Spiegel GmbH","Alexandrinenstr. 135/136,  Berlin","1933","","","construction"
"Müller & Pollak","Alexandrinenstr. 137,  Berlin","1920","1930.0","1938.0","Möbel"
"Rapid Kopier-GmbH","Alexandrinenstr. 137,  Berlin","1925","1937.0","","photography and film"
"Albert Labus AG","Alexandrinenstr. 22,  Berlin","1922","1936.0","","paper and paper goods"
"Baer & Stein Metallwaren-Fabrik AG","Alexandrinenstr. 24,  Berlin","1900","1934.0","","metals and metal goods"
"Max Schachnow & Co AG für Toilette-Artikel","Alexandrinenstr. 27,  Berlin","1923","1934.0","1939.0","chemicals and pharmaceuticals"
"Hermann Posner","Alexandrinenstr. 36,  Berlin","1902","1941.0","","textiles and clothing"
"David Owitz","Alexandrinenstr. 37,  Berlin","1919","1939.0","","household goods"
"Julius Cohn","Alexandrinenstr. 37a,  Berlin","1903","1933.0","","metals and metal goods"
"Hartmann & Co","Alexandrinenstr. 37a,  Berlin","1910","1940.0","","textiles and clothing"
"Benno Forchheimer","Alexandrinenstr. 43,  Berlin","1930","1939.0","","Möbel"
"Anton Nathan","Alexandrinenstr. 45,  Berlin","1904","","","machines, motor vehicles & technical articles"
"Julius Margoninsky","Alexandrinenstr. 46 und 50,  Berlin","1913","1938.0","1939.0","chemicals and pharmaceuticals"
"Chlorator-GmbH","Alexandrinenstr. 48,  Berlin","1923","1938.0","1938.0","chemicals and pharmaceuticals"
"Chlorator","Alexandrinenstr. 48,  Berlin","1938","1939.0","","machines, motor vehicles & technical articles"
"Carl Jander","Alexandrinenstr. 48,  Berlin","1900","1940.0","","textiles and clothing"
"Alfred Flatow","Alexandrinenstr. 49,  Berlin","1914","1939.0","","machines, motor vehicles & technical articles"
"Fritz Böhm","Alexandrinenstr. 49,  Berlin","1938","1941.0","","leather and shoes"
"Fraenkl & Co","Alexandrinenstr. 50,  Berlin","1908","1939.0","1939.0","household goods"
"J. Pincus Söhne GmbH","Alexandrinenstr. 63/64,  Berlin","1922","1936.0","",""
"Siegfried Czapski","Alexandrinenstr. 68/69,  Berlin","1908","1939.0","","textiles and clothing"
"Hermann Rosenzweig","Alexandrinenstr. 76,  Berlin","1911","1938.0","","other"
"XXX Adolf Goldmann","Alexandrinenstr. 84,  Berlin","1920","1940.0","","other"
"Anna Planitz","Alexandrinenstr. 87,  Berlin","1915","1940.0","","Möbel"
"J. Jacobinski","Alexandrinenstr. 89,  Berlin","1901","1941.0","","leather and shoes"
"S. Michaelis Import-Geschäft","Alexandrinenstr. 92,  Berlin","1904","1938.0","","Nahrungs- und Genussmittel"
"Richard I. David","Alexandrinenstr. 93/94,  Berlin","1915","1937.0","","leather and shoes"
"Kiefe & Huller","Alexandrinenstr. 93/94,  Berlin","1911","1938.0","","other"
"Julius Fabisch","Alexandrinenstr. 93/94,  Berlin","1921","1939.0","","metals and metal goods"
"Wichert-Jakoby-Weißmann-Schuhfabrik AG (Wiwag)","Alexandrinenstr. 95/6,  Berlin","1922","1938.0","","leather and shoes"
"Hesse & Kramer","Alexandrinenstr. 95/96,  Berlin","1907","1935.0","","Möbel"
"S. Foerstner","Alexandrinenstr. 95/96,  Berlin","1900","1936.0","","textiles and clothing"
"Gebr. Rozenbaum Lederwarenfabrikation","Alexandrinenstr. 95/96,  Berlin","1927","1938.0","","leather and shoes"
"M. Silberblatt","Alexandrinenstr. 95/96,  Berlin","1904","1940.0","","textiles and clothing"
"Trias & Verschleißer","Alexandrinenstr. 95/96,  Berlin","1931","1941.0","","other"
"Farmey GmbH Großhandelshaus pharmazeutischer und kosmetischer Spezialitäten und Parfümerie","Alexandrinenstr. 97,  Berlin","1920","1938.0","1938.0","chemicals and pharmaceuticals"
"Hans Wendriner Export","Alexandrinenstr. 99,  Berlin","1937","1941.0","","other"
"Paul Immerglück","Allensteiner Str.  38,  Berlin","","","","textiles and clothing"
"Max Seligmann","Allensteinerstr. 36,  Berlin","1917","1939.0","","textiles and clothing"
"Adam & Philipsohn","Allensteinerstr. 39,  Berlin","1923","1936.0","","textiles and clothing"
"Gellert, Oskar","Alsenstr. 6,  Berlin","","","","leather and shoes"
"Gustav Löwenberg","Alt Moabit  114,  Berlin","","","","textiles and clothing"
"Autoreifen Magazin","Alt Moabit  130,  Berlin","","","","Maschinen und Fahrzeuge, technische Artikel"
"Schuhbesohlung Herkules","Alt Moabit  15,  Berlin","","","","leather and shoes"
"Manfred Leopold","Alt Moabit  51,  Berlin","","","",""
"Rosenthal & Co","Alt Moabit 105,  Berlin","1900","1935.0","","publishing and printing"
"Emanuel Zeller","Alt Moabit 106,  Berlin","1924","1941.0","","textiles and clothing"
"Heinrich Perl","Alt Moabit 109,  Berlin","1924","1939.0","","leather and shoes"
"Adolf Boese","Alt Moabit 111,  Berlin","1937","","","jewelry and precious metals"
"Güter-Sammelverkehr-GmbH","Alt Moabit 139,  Berlin","1932","1936.0","","transportation"
"J. Schneider & Co GmbH","Alt Moabit 139b,  Berlin","1930","1939.0","1938.0","transportation"
"Max Sittner Gotzkowsky-Apotheke Allopathie u. Homöopathie engros u. Export","Alt Moabit 52,  Berlin","1923","1936.0","","pharmacies"
"Adrema-Verwaltungsgesellschaft mbH","Alt Moabit 62/63,  Berlin","1919","1934.0","","machines, motor vehicles & technical articles"
"Adrema Export GmbH","Alt Moabit 62/63,  Berlin","1934","1937.0","","machines, motor vehicles & technical articles"
"Adrema Maschinenbau-GmbH","Alt Moabit 63/63,  Berlin","1913","1934.0","","machines, motor vehicles & technical articles"
"Dachpix Gesellschaft Klemann & Co GmbH","Alt Moabit 75,  Berlin","1905","1937.0","","construction"
"Julius Rothmann","Alt Moabit 80,  Berlin","1913","1939.0","","leather and shoes"
"Gummi Confection Alexis Sachs","Alt Moabit 83b,  Berlin","1912","1937.0","","textiles and clothing"
"Paula Buschke","Alt Moabit 85a,  Berlin","1936","1939.0","","textiles and clothing"
"Isac Grünfeld","Alt Moabit 86,  Berlin","1910","1932.0","","electrical goods"
"F. Klag & Co","Alt Moabit 86,  Berlin","1923","1939.0","","Nahrungs- und Genussmittel"
"Willi Goldschmidt Metalle","Alt Moabit 95,  Berlin","1924","1938.0","1939.0","metals and metal goods"
"Martin Jacobson","Alt Moabit 95/96,  Berlin","1904","1937.0","1938.0","chemicals and pharmaceuticals"
"Limba GmbH zur Herstellung alkoholfreier Getränke","Alt Moabit 95/96,  Berlin","1934","1937.0","","Nahrungs- und Genussmittel"
"L. Schlochauer & Co","Alt Moabit 95/96,  Berlin","1918","1940.0","","Nahrungs- und Genussmittel"
"Tonophon GmbH","Alt Stralau 36,  Berlin","1929","1938.0","1939.0","construction materials and fuel"
"Monette Asbestdraht GmbH","Alt Stralau 4,  Berlin","1930","","","electrical goods"
"Transvaalstr. 17 Grunstücksgesellschaft mbH in Liqu., z.Hd. d. Herrn Ferd. Naggatz","Alt-Moabit 135,  Berlin","","","","real estate"
"Julius Nawratzki","Alt-Moabit 82d,  Berlin","1933","","","Nahrungs- und Genussmittel"
"Merten, Leo","Alt-Moabit 84,  Berlin","","","","textiles and clothing"
"Philipsborn, Victor","Alt-Moabit 86,  Berlin","","","","textiles and clothing"
"Berthold Wreschner","Alte Jacobstr. 11/12,  Berlin","1901","1937.0","","Möbel"
"Deutsche Buch-Gemeinschaft GmbH","Alte Jacobstr. 156/157,  Berlin","1924","1939.0","","other"
"Hans Loepert","Alte Jacobstr. 40/41,  Berlin","1934","1939.0","1940.0","textiles and clothing"
"Max Kulies","Alte Jacobstr. 78,  Berlin","1911","1941.0","","textiles and clothing"
"F. Salomon","Alte Jakobstr.  101,  Berlin","","","",""
"Meyer","Alte Jakobstr.  134,  Berlin","","","",""
"Apotheker Rosenberg","Alte Jakobstr.  5,  Berlin","","","","Nahrungs- und Genussmittel"
"Nachf. Carl Seeger","Alte Jakobstr.  5,  Berlin","","","","electrical goods"
"Plissee-Maschke","Alte Jakobstr.  51,  Berlin","","","","textiles and clothing"
"Salon Gransee","Alte Jakobstr.  74,  Berlin","","","",""
"Leo Krus","Alte Jakobstr.  96,  Berlin","","","","textiles and clothing"
"Julius Strauß Knopfmanufaktur","Alte Jakobstr. 106,  Berlin","1907","1937.0","","household goods"
"W. Siebe Nachf.","Alte Jakobstr. 106,  Berlin","1900","1940.0","","textiles and clothing"
"Adolf Maaß Fabrik antiseptischer Artikel","Alte Jakobstr. 129,  Berlin","1905","1939.0","","leather and shoes"
"Löwenstein & Koppel","Alte Jakobstr. 133,  Berlin","1920","1938.0","1939.0","paper and paper goods"
"Hugo Baruch & Cie","Alte Jakobstr. 133,  Berlin","1901","1937.0","","Möbel"
"Wäsche-Industrie Berlin vorm. Schloßmann GmbH","Alte Jakobstr. 133,  Berlin","1926","1939.0","","textiles and clothing"
"Fritz Lindenbaum","Alte Jakobstr. 156/157,  Berlin","1919","1938.0","","Nahrungs- und Genussmittel"
"Max Dresel","Alte Jakobstr. 173,  Berlin","1907","1930.0","1932.0","leather and shoes"
"Bergas & Held","Alte Jakobstr. 18,  Berlin","1901","1938.0","","paper and paper goods"
"Jacob A. Seligmann & Co AG","Alte Jakobstr. 20/22,  Berlin","1923","1933.0","1934.0","textiles and clothing"
"Casparius & Silberstein","Alte Jakobstr. 20/22,  Berlin","1909","1935.0","","leather and shoes"
"Phantasie-Stoff-Wirkerei GmbH","Alte Jakobstr. 20/22,  Berlin","1927","1935.0","","textiles and clothing"
"Bruno Georgi","Alte Jakobstr. 20/22,  Berlin","1911","1938.0","","electrical goods"
"Gebr. Ring","Alte Jakobstr. 20/22,  Berlin","1920","1939.0","","textiles and clothing"
"Leopold Laserson","Alte Jakobstr. 20/22,  Berlin","1922","1939.0","","chemicals and pharmaceuticals"
"Wilhelm Landauer","Alte Jakobstr. 20/22,  Berlin","1934","1939.0","","household goods"
"Hugo Hirschfeld","Alte Jakobstr. 23/24,  Berlin","1920","1937.0","1938.0","textiles and clothing"
"Gottschalk & Laske","Alte Jakobstr. 23/24,  Berlin","1902","1939.0","","textiles and clothing"
"Max Freidberg","Alte Jakobstr. 23/24,  Berlin","1919","1939.0","","textiles and clothing"
"S. Katz","Alte Jakobstr. 24,  Berlin","1900","1933.0","","textiles and clothing"
"Julius Rausch","Alte Jakobstr. 24,  Berlin","1904","","","paper and paper goods"
"Edmund Kahn","Alte Jakobstr. 46,  Berlin","1900","1938.0","","textiles and clothing"
"Norbert Faklier","Alte Jakobstr. 48,  Berlin","1921","","1941.0","textiles and clothing"
"Burchardy & Ziegler","Alte Jakobstr. 54/55,  Berlin","1935","1939.0","","textiles and clothing"
"Max Jonas Textil","Alte Jakobstr. 64a,  Berlin","1922","1938.0","","textiles and clothing"
"Felix Fleischer","Alte Jakobstr. 75,  Berlin","1906","1938.0","1938.0","Möbel"
"Simon Neumark","Alte Jakobstr. 75,  Berlin","1928","1941.0","","jewelry and precious metals"
"Arnold Obersky GmbH Mieder- und Wäschefabrik","Alte Jakobstr. 77,  Berlin","1938","1938.0","","textiles and clothing"
"Gebrüder Lewandowski GmbH","Alte Jakobstr. 77,  Berlin","1920","1938.0","","textiles and clothing"
"Arnold Obersky AG","Alte Jakobstr. 77c,  Berlin","1924","1932.0","","textiles and clothing"
"Hahn & Langer","Alte Jakobstr. 78,  Berlin","1919","1939.0","","textiles and clothing"
"Drewes & Leyser","Alte Jakobstr. 78,  Berlin","1902","1940.0","","textiles and clothing"
"Adolf Cohn Agentur und Commission","Alte Jakobstr. 81/82,  Berlin","1911","1941.0","","other"
"Gorselanczyk & Co GmbH","Alte Jakobstr. 83,  Berlin","1908","1936.0","1937.0","textiles and clothing"
"Nirgends besser als bei Schneidermeister Lesser Nathan Lesser","Alte Jakobstr. 88,  Berlin","1920","1938.0","","textiles and clothing"
"Adolf Zumpe senior GmbH","Alte Jakobstr. 9,  Berlin","1924","","1938.0","paper and paper goods"
"R. Cohn junior","Alte Jakobstr. 93,  Berlin","1901","1938.0","","textiles and clothing"
"S. Mugdan","Alte Jakobstr. 93,  Berlin","1902","1940.0","","paper and paper goods"
"Willy Fischer Knöpfe-Schnallen-Engros-Export","Alte Leipziger Str. 12,  Berlin","1933","1940.0","","textiles and clothing"
"Adalbert Friedland","Alte Leipziger Str. 13,  Berlin","1917","1937.0","","textiles and clothing"
"J. Halberstadt","Alte Leipziger Str. 16,  Berlin","1901","1937.0","","textiles and clothing"
"Adolf Biberfeld","Alte Leipziger Str. 17,  Berlin","1921","1940.0","","textiles and clothing"
"Emil Kochmann","Alte Leipziger Str. 6,  Berlin","1915","1939.0","","textiles and clothing"
"Klapper & Co GmbH","Alte Leipziger Str. 6,  Berlin","1939","","",""
"Georg Pintus","Alte Leipziger Str. 7/9,  Berlin","1900","1939.0","","publishing and printing"
"Hopp & Peiser","Alte Leipziger Str. 7/9,  Berlin","1920","1939.0","","textiles and clothing"
